tmstmp, lat, lon, vid, rt, pid
20230626 19:55:16,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:55:33,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:55:39,29.6252747,-82.38789,1010,33,500644
20230626 19:55:48,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:55:55,29.6252747,-82.38789,1010,33,500644
20230626 19:56:04,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:56:10,29.6252747,-82.38789,1010,33,500644
20230626 19:56:19,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:56:27,29.646058333333333,-82.32268333333334,708,1,477
20230626 19:56:28,29.6252747,-82.38789,1010,33,500644
20230626 19:56:19,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:56:42,29.646058333333333,-82.32268333333334,708,1,477
20230626 19:56:43,29.6252747,-82.38789,1010,33,500644
20230626 19:56:49,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:57:05,29.646058333333333,-82.32268333333334,708,1,477
20230626 19:56:58,29.6252747,-82.38789,1010,33,500644
20230626 19:57:05,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:57:05,29.646058333333333,-82.32268333333334,708,1,477
20230626 19:57:14,29.6252747,-82.38789,1010,33,500644
20230626 19:57:20,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:57:22,29.646058333333333,-82.32268333333334,708,1,477
20230626 19:57:29,29.6252747,-82.38789,1010,33,500644
20230626 19:57:36,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:57:45,29.646058333333333,-82.32268333333334,708,1,477
20230626 19:57:42,29.64623333333333,-82.32265833333334,1802,5,335
20230626 19:57:51,29.645885,-82.32262833333334,2304,11,54
20230626 19:57:36,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:57:45,29.646058333333333,-82.32268333333334,708,1,477
20230626 19:57:57,29.64623333333333,-82.32265833333334,1802,5,335
20230626 19:58:06,29.645888333333332,-82.32263166666668,2304,11,54
20230626 19:57:51,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:58:06,29.646058333333333,-82.32268333333334,708,1,477
