id,vid,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,spd,tatripid,origtatripno,tablockid,zone,mode,psgld,stst,stsd
2255,1604,20221018 18:16:48,29.63693824378996,-82.3725,0,500354,20,Reitz Union / UF Campus,19837,False,0,14533,710271,10204,,0,EMPTY,63900,2022-10-18
2256,804,20221018 18:16:48,29.647361666666665,-82.35797166666667,5,500354,20,Reitz Union / UF Campus,28064,False,21,14535,710273,10202,,0,EMPTY,65700,2022-10-18
2258,1402,20221018 18:16:47,29.65966216331392,-82.41684371336974,269,324,23,Santa Fe,3120,False,25,1469,708154,10232,,0,EMPTY,65520,2022-10-18
2259,1002,20221018 18:16:48,29.661210002967053,-82.4335833367352,178,500383,23,Oaks Mall,10792,False,34,1506,708191,10231,,0,EMPTY,65400,2022-10-18
2260,2106,20221018 18:16:44,29.659207371213512,-82.30292819300048,92,500347,26,GNV Airport,10258,False,22,1553,708215,10261,,0,HALF_EMPTY,64800,2022-10-18
2261,1601,20221018 18:16:47,29.64036046395806,-82.34612320169114,196,500400,33,Butler Plaza Transfer Station,5084,False,4,13148,709374,10331,,0,HALF_EMPTY,65160,2022-10-18
2265,1806,20221018 18:16:44,29.6210055280408,-82.36868532816717,111,500387,34,Lexington Cr.,24020,False,35,13200,709404,10342,,0,EMPTY,63900,2022-10-18
2266,1005,20221018 18:16:45,29.640207049927547,-82.34619467226784,266,207,35,SW 35TH PLACE,1874,False,0,14753,710441,10353,,0,EMPTY,64740,2022-10-18
2268,1009,20221018 18:16:49,29.6334998607841,-82.358862212955,64,500406,35,Reitz Union / UF Campus,11015,False,0,14822,710386,10351,,0,EMPTY,65100,2022-10-18
2271,1104,20221018 18:16:48,29.64975751718228,-82.34380190113855,89,189,38,Enclave,709,False,0,2247,708302,10382,,0,EMPTY,65160,2022-10-18
2277,1401,20221018 18:16:49,29.62309688138869,-82.38627127956515,270,348,75,Butler Plaza Transfer Station,69964,False,19,8032,708650,10752,,0,EMPTY,62700,2022-10-18
2278,1205,20221018 18:16:46,29.6309803565842,-82.41802549810885,245,500384,75,Oaks Mall,48279,False,45,8050,708668,10753,,0,FULL,62700,2022-10-18
2279,4379,20221018 18:16:49,29.63411270886386,-82.3578763379158,246,500442,150,Haile Plantation,6619,False,0,10599,708910,11504,,0,EMPTY,65400,2022-10-18
2280,4380,20221018 18:16:49,29.6318882917393,-82.362306522955,61,500451,150,UF Health,35748,False,15,9691,708813,11503,,0,EMPTY,64800,2022-10-18
2281,2101,20221018 18:16:53,29.649194937172844,-82.30581859249858,270,352,2,Walmart/Duval,33393,False,9,13970,709866,10021,,0,EMPTY,64800,2022-10-18
2284,1802,20221018 18:16:54,29.65125977813495,-82.35324058494578,67,335,5,Rosa Parks/Downtown,18968,False,30,6072,708519,10051,,0,EMPTY,64860,2022-10-18
2288,1808,20221018 18:16:52,29.71171373112251,-82.35641917392293,191,500393,8,PineRidge/Walmart,54680,False,7,14264,710033,10081,,0,EMPTY,62580,2022-10-18
2289,2581,20221018 18:16:51,29.63350524767608,-82.3591180865861,63,500433,9,Reitz Union/UF Campus,11824,False,15,10972,709053,10094,,0,EMPTY,65280,2022-10-18
2292,802,20221018 18:16:53,29.654801304620225,-82.33922626628224,180,22,10,Rosa Parks/Downtown,36260,False,12,636,708038,10101,,0,EMPTY,64800,2022-10-18
2293,2107,20221018 18:16:50,29.64245,-82.27153000000001,173,104,11,E. Meadows/Cedar Grove,32806,False,0,650,708052,10111,,0,EMPTY,64800,2022-10-18
2295,1809,20221018 18:16:55,29.673800080508205,-82.31532996504178,92,66,15,NW 13th St/ NW 23rd Ave,13700,False,22,1010,708091,10151,,0,HALF_EMPTY,64800,2022-10-18
2307,1014,20221018 18:16:55,29.648714355537,-82.34481448841933,22,500387,34,Lexington Cr.,58,False,9,13202,709405,10341,,0,EMPTY,65700,2022-10-18
2308,1806,20221018 18:16:54,29.62043967948001,-82.36714759625262,112,500387,34,Lexington Cr.,24546,False,39,13200,709404,10342,,0,EMPTY,63900,2022-10-18
2312,1010,20221018 18:16:51,29.63929794933235,-82.34274455716375,338,500406,35,Reitz Union / UF Campus,17078,False,24,14821,710385,10354,,0,EMPTY,64200,2022-10-18
2313,1207,20221018 18:16:52,29.63931,-82.34275,158,500411,37,Reitz Union / UF Campus,26078,False,10,11894,709153,10372,,0,EMPTY,63900,2022-10-18
2315,1204,20221018 18:16:50,29.645140000007864,-82.34695332979513,270,189,38,Enclave,3254,False,15,2246,708301,10384,,0,EMPTY,64560,2022-10-18
2317,2114,20221018 18:16:55,29.637454540177583,-82.35027263719421,348,500452,38,HUB / UF Campus,12831,False,26,2321,708367,10383,,0,EMPTY,65100,2022-10-18
2319,2112,20221018 18:16:55,29.67508674524516,-82.38896551960264,284,500335,43,Santa Fe,35145,False,22,2401,708383,10431,,0,EMPTY,62520,2022-10-18
2326,1810,20221018 18:16:57,29.65207196907164,-82.34308285066525,269,323,5,Oaks Mall,9067,False,9,6125,708562,10053,,0,EMPTY,64080,2022-10-18
2328,702,20221018 18:16:58,29.684791612115397,-82.3389876101776,0,346,6,PineRidge/Walmart,21039,False,36,14001,709895,10061,,0,EMPTY,64800,2022-10-18
2333,712,20221018 18:16:57,29.64973989227728,-82.3447342,0,500433,9,Reitz Union/UF Campus,21844,False,0,10970,709051,10092,,0,EMPTY,63960,2022-10-18
2339,2110,20221018 18:17:01,29.639957662503456,-82.33930744883291,3,35,16,UF Health,12081,False,9,8973,708798,10161,,0,EMPTY,65220,2022-10-18
2340,2102,20221018 18:16:59,29.6380062,-82.32572,13,500382,17,Rosa Parks / Downtown,8298,True,0,8900,708747,10171,,0,EMPTY,64800,2022-10-18
2341,1604,20221018 18:16:58,29.637191459745807,-82.3725,0,500354,20,Reitz Union / UF Campus,19929,False,17,14533,710271,10204,,0,EMPTY,63900,2022-10-18
2343,1602,20221018 18:17:01,29.651505154226395,-82.40885956408343,345,500355,20,Oaks Mall,33186,False,33,14466,710204,10203,,0,EMPTY,64800,2022-10-18
2346,2106,20221018 18:17:00,29.65919453896937,-82.30246671665216,91,500347,26,GNV Airport,10402,False,0,1553,708215,10261,,0,HALF_EMPTY,64800,2022-10-18
2348,1202,20221018 18:16:56,29.6252747,-82.38789,177,500462,33,Midtown,0,True,0,13098,709328,10333,,0,EMPTY,65160,2022-10-18
2349,1017,20221018 18:16:57,29.6466310080601,-82.34970681215805,40,500462,33,Midtown,28350,False,16,13097,709327,10334,,0,EMPTY,64080,2022-10-18
2352,1005,20221018 18:17:00,29.640207049927547,-82.34619467226784,266,207,35,SW 35TH PLACE,1874,False,0,14753,710441,10353,,0,EMPTY,64740,2022-10-18
2353,1003,20221018 18:16:56,29.62157666666667,-82.37042666666666,107,500406,35,Reitz Union / UF Campus,1,False,0,14823,710387,10352,,0,EMPTY,66000,2022-10-18
2358,1204,20221018 18:16:57,29.645140000008578,-82.34694666392352,89,189,38,Enclave,3256,False,18,2246,708301,10384,,0,EMPTY,64560,2022-10-18
2359,1605,20221018 18:16:56,29.634620804398107,-82.35647750958162,247,189,38,Enclave,9377,False,0,2245,708300,10381,,0,HALF_EMPTY,63960,2022-10-18
2361,1903,20221018 18:16:58,29.637301666666666,-82.348465,69,500335,43,Santa Fe,4151,False,36,2403,708384,10432,,0,EMPTY,65220,2022-10-18
2364,1205,20221018 18:16:56,29.630504644767488,-82.4202304772838,265,500384,75,Oaks Mall,49006,False,37,8050,708668,10753,,0,FULL,62700,2022-10-18
2365,1015,20221018 18:16:59,29.646057955069285,-82.33708333521996,179,218,127,Sorority Row-Turlington,1999,False,0,13862,709851,11271,,0,EMPTY,65760,2022-10-18
2369,1016,20221018 18:17:02,29.645546,-82.322725,359,323,5,Oaks Mall,0,False,0,6126,708563,10052,,0,EMPTY,65520,2022-10-18
